downloadable,free,id,name,url,pdf_url
TRUE,TRUE,396275,Pepe Basic Chunky Hat,https://alpiknit.wordpress.com/portfolio/simple-knitting-with-sspecial-yarns/,https://alpiknit.files.wordpress.com/2013/04/pepe-basic-chunky-hat.pdf
TRUE,TRUE,420076,Half Moon Hat #L10604,https://web.archive.org/web/20160411180336/http://www.lionbrand.com/patterns/L10604.html,http://www.lionbrand.com/printablePatterns/L10604.pdf
TRUE,TRUE,420481,Brisbane Hat  L20506,http://www.lionbrand.com/patterns/L20506.html,http://www.lionbrand.com/printablePatterns/L20506.pdf
TRUE,TRUE,420687,Solstice Hat #L10598,https://web.archive.org/web/20160409182635/https://www.lionbrand.com/patterns/L10598.html,http://www.lionbrand.com/printablePatterns/L10598.pdf
TRUE,TRUE,423351,Moonglow Hat #L10590,https://web.archive.org/web/20150317212935/http://www.lionbrand.com/patterns/L10590.html,http://www.lionbrand.com/printablePatterns/L10590.pdf
TRUE,TRUE,423389,Two Ball Knit Hat #L0561,http://www.lionbrand.com/patterns/L0561.html,http://www.lionbrand.com/printablePatterns/L0561.pdf
TRUE,TRUE,423413,Ridgley Hat,http://www.lionbrand.com/patterns/L20242.html,http://www.lionbrand.com/printablePatterns/L20242.pdf
TRUE,TRUE,423421,Lively Hat,http://www.lionbrand.com/patterns/L30102.html,http://www.lionbrand.com/printablePatterns/L30102.pdf
TRUE,TRUE,423444,Stargazer Hat,http://www.lionbrand.com/patterns/L10599.html,http://www.lionbrand.com/printablePatterns/L10599.pdf
TRUE,TRUE,423446,Singular Stripes Hat / Modern Striped Hat,http://www.lionbrand.com/patterns/L10545.html,http://www.lionbrand.com/printablePatterns/L10545.pdf
TRUE,TRUE,423450,Cabled Hat #60714AD,http://www.lionbrand.com/patterns/60714AD.html,http://www.lionbrand.com/printablePatterns/60714AD.pdf
TRUE,TRUE,423467,One Stitch Hat #L10535,http://www.lionbrand.com/patterns/L10535.html,http://www.lionbrand.com/printablePatterns/L10535.pdf
TRUE,TRUE,423469,Caramel Swirl Hat,http://www.lionbrand.com/patterns/L0470.html,http://www.lionbrand.com/printablePatterns/L0470.pdf
TRUE,TRUE,423480,One Ball Hat #L0088AD,http://www.lionbrand.com/patterns/L0088AD.html,http://www.lionbrand.com/printablePatterns/L0088AD.pdf
TRUE,TRUE,423678,Collegiate Hat and Scarf (Hat),http://www.lionbrand.com/patterns/L20398B.html,http://www.lionbrand.com/printablePatterns/L20398B.pdf
TRUE,TRUE,423727,Easy Rib Knit Hat,http://www.lionbrand.com/patterns/L20123.html,http://www.lionbrand.com/printablePatterns/L20123.pdf
TRUE,TRUE,423731,Spotlight Hat,http://www.lionbrand.com/patterns/L20652.html,http://www.lionbrand.com/printablePatterns/L20652.pdf
TRUE,TRUE,438268,Wythe Slouch Hat,http://www.lionbrand.com/patterns/L32061.html,http://www.lionbrand.com/printablePatterns/L32061.pdf
TRUE,TRUE,442619,Gathered Pillbox Hat,http://www.lionbrand.com/patterns/80003AD.html,http://www.lionbrand.com/printablePatterns/80003AD.pdf
TRUE,TRUE,443115,Simple Knit Crimson Hat and Scarf (Hat),http://www.lionbrand.com/patterns/L30086.html,http://www.lionbrand.com/printablePatterns/L30086.pdf
TRUE,TRUE,443120,Prospect Park Hat,http://www.lionbrand.com/patterns/L32018.html,http://www.lionbrand.com/printablePatterns/L32018.pdf
TRUE,TRUE,472444,Maritime Hat,http://www.gaspereauvalleyfibres.ca/products/patterns-by-gaspereau-valley-fibres,http://www.gaspereauvalleyfibres.ca/wp/wp/wp-content/uploads/2012/11/maritime-hat.pdf
TRUE,TRUE,510248,Winter Weather Set: Hat,https://www.yarnspirations.com/bernat-winter-weather-set/BRK0116-001342M.html,http://www.yarnspirations.com/assets/files/pattern-files/%5Bnode%3Aid%5D/pdf/en/WEB-B-SCHNKY-K-WinterWeatherSet.pdf
TRUE,TRUE,518194,Level 3 Knit Hat,http://www.lionbrand.com/patterns/L40192.html?noImages=0,http://www.lionbrand.com/printablePatterns/L40192.pdf
TRUE,TRUE,192212,Rectangle Hat,http://www.lionbrand.com/patterns/70125A.html,http://www.lionbrand.com/printablePatterns/70125A.pdf
TRUE,TRUE,212310,Fresh Greens Hat / Everyday Hat,http://www.lionbrand.com/patterns/L0197AD.html,http://cache.lionbrand.com/printablePatterns/L0197AD.pdf
TRUE,TRUE,215726,Fern Green Hat / Nikki's Hat,http://www.lionbrand.com/patterns/L0457.html,http://cache.lionbrand.com/printablePatterns/L0457.pdf
TRUE,TRUE,219278,Moorish Frieze Hat,http://artsyashley.wordpress.com/patterns/,http://artsyashley.files.wordpress.com/2008/09/moorish-frieze-hat-pattern3.pdf
TRUE,TRUE,219804,Ice Crystals Hat,,"http://www.ravelry.com/dls/melissa-sleasman-designs/54036?filename=Ice_Crystals_Hat.pdf"">download now"
TRUE,TRUE,238464,Mistake Stitch Cable Hat,http://www.lionbrand.com/patterns/L0694.html,http://cache.lionbrand.com/printablePatterns/L0694.pdf
TRUE,TRUE,329053,Slouchy Hat (Bonnet Mou),,http://com.yarnspirations.pattern-pdfs.s3.amazonaws.com/187-TO-P-DEL-SlouchHat-ENG.pdf
TRUE,TRUE,358049,Reindeer Games (Hat),https://www.yarnspirations.com/bernat-reindeer-games-set/BRK0138-009435M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dwb55f4507/PDF/BRK0138-009435M.pdf
TRUE,TRUE,361517,Cable Vision Hat,http://www.lionbrand.com/patterns/L10588.html,http://www.lionbrand.com/printablePatterns/L10588.pdf
TRUE,TRUE,438267,Roebling Fair Isle Hat,http://www.lionbrand.com/patterns/L32057.html,http://www.lionbrand.com/printablePatterns/L32057.pdf
TRUE,TRUE,212741,Ullstund Hat,,https://web.archive.org/web/20110302041544/http://www.yarnia.com/blog/wp-content/uploads/2010/11/ullstund-eng.pdf
TRUE,TRUE,215536,Hey Jill Knit Hat,,http://www.athing4string.com/patterns/heyjillknithat.pdf
TRUE,TRUE,216971,Aussie Transplant Hat,http://ozbambi.tripod.com/,http://media.tripod.lycos.com/1935192/1482185.pdf
TRUE,TRUE,225836,Tesha's Baggy Hat / Teshas baggy lue,http://tesha.wordpress.com/teshas-baggy-lue/,http://tesha.files.wordpress.com/2010/01/teshas-baggy-lue.pdf
TRUE,TRUE,258326,Boomer Sooner Hat,http://allkindsofknitting.wordpress.com/2011/07/29/red-is-the-color/,http://allkindsofknitting.files.wordpress.com/2011/07/boomer-sooner-hat2.pdf
TRUE,TRUE,287159,Darn Knit Santa Hat,,http://darnknitanyway.com/blog/wp-content/uploads/2011/12/DKA-Santa-Hat.pdf
TRUE,TRUE,305267,Black and white reversible hat,,https://dl-web.dropbox.com/get/Public/Instructions.pdf?w=6c6b17f0
TRUE,TRUE,335498,Ultimate Spider Hat,,http://www.mediafire.com/file/g0mpv8pg9096k80/The_Ultimate_Spider_Hat.pdf
TRUE,TRUE,430352,Sleepytime Hat,,https://www.dropbox.com/s/kc96duupfc3bswj/Sleepytime%20Hat.pdf?dl=0
TRUE,TRUE,457917,Bargello Hat,,http://com.yarnspirations.pattern-pdfs.s3.amazonaws.com/WEB-B-BAR-BargelloHat-ENG%281%29.pdf
TRUE,TRUE,462068,Team USA Hat (Knit),http://www.lionbrand.com/patterns/L32401.html,http://www.lionbrand.com/printablePatterns/L32401.pdf
TRUE,TRUE,151301,Diamonds Are A Girl's Best Friend Hat,http://itsahardknitlife.blogspot.com/2009/11/sick-again.html,http://www.ravelry.com/dls/d-c-boyd-designs/25647?filename=DAAGBFFpat_copy.pdf
TRUE,TRUE,199594,Scott Pilgrim Stocking Hat/Snail Hat,,http://rosaka.files.wordpress.com/2010/09/scottpilgrimhat3.pdf
